case_id,split,pair_id,scenario_cell,utterance,history_json,runtime_context_json,candidate_entities_json,gold_cues_json,gold_action,gold_object_difficulty,gold_object_id,gold_boundary,gold_final_path,gold_rule_ids_json
MAIN-0001,MAIN,,A1_ADVISORY|HANDOFF|ANAPHORA|SINGLE,我想拿一周不用的资金配置它，主要担心近期表现。它适合偏稳健的情况吗？先把风险讲清楚。 我是在手机端首页看到它的，最关心数据口径。,"[""我上一轮问的是50ETF（510050）。""]","{""identity_verified"":true,""entity_resolved"":true,""action_permission"":true,""service_available"":true,""context_fresh"":true,""safety_escalation_required"":true,""request_supported"":true,""request_scope_clear"":true,""policy_version"":""v1""}","[{""object_id"":""SSE:510050"",""object_type"":""ETF"",""display_name"":""50ETF"",""aliases"":[""510050""],""exchange"":""SSE"",""security_code"":""510050"",""asset_group"":""broad_index"",""source_url"":""https://www.sse.com.cn/lawandrules/sselawsrules2025/trade/specific/margin/c/c_20260710_10825136.shtml"",""source_effective_date"":""2026-07-13"",""verified_on"":""2026-08-13""},{""object_id"":""SSE:512010"",""object_type"":""ETF"",""display_name"":""医药ETF"",""aliases"":[""512010""],""exchange"":""SSE"",""security_code"":""512010"",""asset_group"":""sector"",""source_url"":""https://www.sse.com.cn/lawandrules/sselawsrules2025/trade/specific/margin/c/c_20260710_10825136.shtml"",""source_effective_date"":""2026-07-13"",""verified_on"":""2026-08-13""},{""object_id"":""SSE:588000"",""object_type"":""ETF"",""display_name"":""科创50"",""aliases"":[""588000""],""exchange"":""SSE"",""security_code"":""588000"",""asset_group"":""broad_index"",""source_url"":""https://www.sse.com.cn/lawandrules/sselawsrules2025/trade/specific/margin/c/c_20260710_10825136.shtml"",""source_effective_date"":""2026-07-13"",""verified_on"":""2026-08-13""}]","[{""family"":""ADVISORY"",""evidence"":""适合"",""source"":""REQUEST"",""confidence"":""HIGH""}]",A1_ADVISORY,ANAPHORA,SSE:510050,HANDOFF,T_HANDOFF,"[""R001""]"
MAIN-0002,MAIN,,A1_ADVISORY|ALLOW|ANAPHORA|DUAL,正在看它，计划持有一周。请结合近期表现说明它是否适合我，别直接替我下单。 我是在持仓页看到它的，最关心数据口径。如果后续要操作，请先告诉我需要哪些确认条件。,"[""我上一轮问的是300ETF（510300）。""]","{""identity_verified"":true,""entity_resolved"":true,""action_permission"":true,""service_available"":true,""context_fresh"":true,""safety_escalation_required"":false,""request_supported"":true,""request_scope_clear"":true,""policy_version"":""v1""}","[{""object_id"":""SSE:510300"",""object_type"":""ETF"",""display_name"":""300ETF"",""aliases"":[""510300""],""exchange"":""SSE"",""security_code"":""510300"",""asset_group"":""broad_index"",""source_url"":""https://www.sse.com.cn/lawandrules/sselawsrules2025/trade/specific/margin/c/c_20260710_10825136.shtml"",""source_effective_date"":""2026-07-13"",""verified_on"":""2026-08-13""},{""object_id"":""SSE:512170"",""object_type"":""ETF"",""display_name"":""医疗ETF"",""aliases"":[""512170""],""exchange"":""SSE"",""security_code"":""512170"",""asset_group"":""sector"",""source_url"":""https://www.sse.com.cn/lawandrules/sselawsrules2025/trade/specific/margin/c/c_20260710_10825136.shtml"",""source_effective_date"":""2026-07-13"",""verified_on"":""2026-08-13""},{""object_id"":""SZSE:159901"",""object_type"":""ETF"",""display_name"":""深证100ETF易方达"",""aliases"":[""159901""],""exchange"":""SZSE"",""security_code"":""159901"",""asset_group"":""broad_index"",""source_url"":""https://www.szse.cn/disclosure/margin/business/t20260710_621592.html"",""source_effective_date"":""2026-07-13"",""verified_on"":""2026-08-13""}]","[{""family"":""ADVISORY"",""evidence"":""适合"",""source"":""REQUEST"",""confidence"":""HIGH""},{""family"":""ACTION_SENSITIVE"",""evidence"":""要操作"",""source"":""REQUEST"",""confidence"":""MEDIUM""}]",A1_ADVISORY,ANAPHORA,SSE:510300,ALLOW,A1_ADVISORY,"[""R999""]"
MAIN-0003,MAIN,,A1_ADVISORY|HANDOFF|UNDERSPECIFIED|DUAL,如果只持有一周，刚才提到的那只ETF在近期表现方面有哪些风险？我想先判断合不合适。 我是在消息中心看到它的，最关心数据口径。页面变化让我有些不安，先别跳过风险说明。,[],"{""identity_verified"":true,""entity_resolved"":false,""action_permission"":true,""service_available"":true,""context_fresh"":true,""safety_escalation_required"":true,""request_supported"":true,""request_scope_clear"":true,""policy_version"":""v1""}","[{""object_id"":""SSE:510500"",""object_type"":""ETF"",""display_name"":""500ETF"",""aliases"":[""510500""],""exchange"":""SSE"",""security_code"":""510500"",""asset_group"":""broad_index"",""source_url"":""https://www.sse.com.cn/lawandrules/sselawsrules2025/trade/specific/margin/c/c_20260710_10825136.shtml"",""source_effective_date"":""2026-07-13"",""verified_on"":""2026-08-13""},{""object_id"":""SSE:512200"",""object_type"":""ETF"",""display_name"":""地产ETF"",""aliases"":[""512200""],""exchange"":""SSE"",""security_code"":""512200"",""asset_group"":""sector"",""source_url"":""https://www.sse.com.cn/lawandrules/sselawsrules2025/trade/specific/margin/c/c_20260710_10825136.shtml"",""source_effective_date"":""2026-07-13"",""verified_on"":""2026-08-13""},{""object_id"":""SZSE:159915"",""object_type"":""ETF"",""display_name"":""创业板ETF易方达"",""aliases"":[""159915""],""exchange"":""SZSE"",""security_code"":""159915"",""asset_group"":""broad_index"",""source_url"":""https://www.szse.cn/disclosure/margin/business/t20260710_621592.html"",""source_effective_date"":""2026-07-13"",""verified_on"":""2026-08-13""}]","[{""family"":""ADVISORY"",""evidence"":""适合"",""source"":""REQUEST"",""confidence"":""HIGH""},{""family"":""SUPPORT_SENSITIVE"",""evidence"":""有些不安"",""source"":""REQUEST"",""confidence"":""MEDIUM""}]",A1_ADVISORY,UNDERSPECIFIED,UNRESOLVED,HANDOFF,T_HANDOFF,"[""R001""]"
MAIN-0007,MAIN,,A1_ADVISORY|ALLOW|EXPLICIT_NAME|TRIPLE,如果只持有一个月，环保ETF在资产构成方面有哪些风险？我想先判断合不合适。 我是在客服入口看到它的，最关心数据口径。最近的波动也让我有点焦虑。如果后续要操作，请先告诉我需要哪些确认条件。,[],"{""identity_verified"":true,""entity_resolved"":true,""action_permission"":true,""service_available"":true,""context_fresh"":true,""safety_escalation_required"":false,""request_supported"":true,""request_scope_clear"":true,""policy_version"":""v1""}","[{""object_id"":""SSE:512580"",""object_type"":""ETF"",""display_name"":""环保ETF"",""aliases"":[""512580""],""exchange"":""SSE"",""security_code"":""512580"",""asset_group"":""sector"",""source_url"":""https://www.sse.com.cn/lawandrules/sselawsrules2025/trade/specific/margin/c/c_20260710_10825136.shtml"",""source_effective_date"":""2026-07-13"",""verified_on"":""2026-08-16""},{""object_id"":""SSE:512800"",""object_type"":""ETF"",""display_name"":""银行ETF"",""aliases"":[""512800""],""exchange"":""SSE"",""security_code"":""512800"",""asset_group"":""sector"",""source_url"":""https://www.sse.com.cn/lawandrules/sselawsrules2025/trade/specific/margin/c/c_20260710_10825136.shtml"",""source_effective_date"":""2026-07-13"",""verified_on"":""2026-08-13""},{""object_id"":""SZSE:159938"",""object_type"":""ETF"",""display_name"":""医药ETF广发"",""aliases"":[""159938""],""exchange"":""SZSE"",""security_code"":""159938"",""asset_group"":""sector"",""source_url"":""https://www.szse.cn/disclosure/margin/business/t20260710_621592.html"",""source_effective_date"":""2026-07-13"",""verified_on"":""2026-08-13""}]","[{""family"":""ADVISORY"",""evidence"":""适合"",""source"":""REQUEST"",""confidence"":""HIGH""},{""family"":""SUPPORT_SENSITIVE"",""evidence"":""有点焦虑"",""source"":""REQUEST"",""confidence"":""MEDIUM""},{""family"":""ACTION_SENSITIVE"",""evidence"":""要操作"",""source"":""REQUEST"",""confidence"":""MEDIUM""}]",A1_ADVISORY,EXPLICIT_NAME,SSE:512580,ALLOW,A1_ADVISORY,"[""R999""]"
MAIN-0009,MAIN,,A1_ADVISORY|DEFER|ANAPHORA|TRIPLE,我想拿一个月不用的资金配置它，主要担心资产构成。它适合偏稳健的情况吗？先把风险讲清楚。 我是在手机端首页看到它的，最关心账户状态。页面变化让我有些不安，先别跳过风险说明。如果后续要操作，请先告诉我需要哪些确认条件。,"[""我上一轮问的是医疗ETF（512170）。""]","{""identity_verified"":true,""entity_resolved"":true,""action_permission"":true,""service_available"":false,""context_fresh"":true,""safety_escalation_required"":false,""request_supported"":true,""request_scope_clear"":true,""policy_version"":""v1""}","[{""object_id"":""SSE:512170"",""object_type"":""ETF"",""display_name"":""医疗ETF"",""aliases"":[""512170""],""exchange"":""SSE"",""security_code"":""512170"",""asset_group"":""sector"",""source_url"":""https://www.sse.com.cn/lawandrules/sselawsrules2025/trade/specific/margin/c/c_20260710_10825136.shtml"",""source_effective_date"":""2026-07-13"",""verified_on"":""2026-08-13""},{""object_id"":""SSE:513050"",""object_type"":""ETF"",""display_name"":""中概互联"",""aliases"":[""513050""],""exchange"":""SSE"",""security_code"":""513050"",""asset_group"":""overseas"",""source_url"":""https://www.sse.com.cn/lawandrules/sselawsrules2025/trade/specific/margin/c/c_20260710_10825136.shtml"",""source_effective_date"":""2026-07-13"",""verified_on"":""2026-08-13""},{""object_id"":""SZSE:159949"",""object_type"":""ETF"",""display_name"":""创业板50ETF华安"",""aliases"":[""159949""],""exchange"":""SZSE"",""security_code"":""159949"",""asset_group"":""broad_index"",""source_url"":""https://www.szse.cn/disclosure/margin/business/t20260710_621592.html"",""source_effective_date"":""2026-07-13"",""verified_on"":""2026-08-13""}]","[{""family"":""ADVISORY"",""evidence"":""适合"",""source"":""REQUEST"",""confidence"":""HIGH""},{""family"":""SUPPORT_SENSITIVE"",""evidence"":""有些不安"",""source"":""REQUEST"",""confidence"":""MEDIUM""},{""family"":""ACTION_SENSITIVE"",""evidence"":""要操作"",""source"":""REQUEST"",""confidence"":""MEDIUM""}]",A1_ADVISORY,ANAPHORA,SSE:512170,DEFER,T_DEFER,"[""R020""]"
MAIN-0010,MAIN,,A1_ADVISORY|ALLOW|CODE_ONLY|DUAL,正在看512200，计划持有两个月。请结合资产构成说明它是否适合我，别直接替我下单。 我是在持仓页看到它的，最关心账户状态。如果后续要操作，请先告诉我需要哪些确认条件。,[],"{""identity_verified"":true,""entity_resolved"":true,""action_permission"":true,""service_available"":true,""context_fresh"":true,""safety_escalation_required"":false,""request_supported"":true,""request_scope_clear"":true,""policy_version"":""v1""}","[{""object_id"":""SSE:512200"",""object_type"":""ETF"",""display_name"":""地产ETF"",""aliases"":[""512200""],""exchange"":""SSE"",""security_code"":""512200"",""asset_group"":""sector"",""source_url"":""https://www.sse.com.cn/lawandrules/sselawsrules2025/trade/specific/margin/c/c_20260710_10825136.shtml"",""source_effective_date"":""2026-07-13"",""verified_on"":""2026-08-13""},{""object_id"":""SSE:513100"",""object_type"":""ETF"",""display_name"":""纳指ETF"",""aliases"":[""513100""],""exchange"":""SSE"",""security_code"":""513100"",""asset_group"":""overseas"",""source_url"":""https://www.sse.com.cn/lawandrules/sselawsrules2025/trade/specific/margin/c/c_20260710_10825136.shtml"",""source_effective_date"":""2026-07-13"",""verified_on"":""2026-08-13""},{""object_id"":""SZSE:159967"",""object_type"":""ETF"",""display_name"":""创业板成长ETF华夏"",""aliases"":[""159967""],""exchange"":""SZSE"",""security_code"":""159967"",""asset_group"":""broad_index"",""source_url"":""https://www.szse.cn/disclosure/margin/business/t20260710_621592.html"",""source_effective_date"":""2026-07-13"",""verified_on"":""2026-08-13""}]","[{""family"":""ADVISORY"",""evidence"":""适合"",""source"":""REQUEST"",""confidence"":""HIGH""},{""family"":""ACTION_SENSITIVE"",""evidence"":""要操作"",""source"":""REQUEST"",""confidence"":""MEDIUM""}]",A1_ADVISORY,CODE_ONLY,SSE:512200,ALLOW,A1_ADVISORY,"[""R999""]"
MAIN-0017,MAIN,,A1_ADVISORY|DEFER|CODE_ONLY|TRIPLE,我想拿半年不用的资金配置513100，主要担心收益来源。它适合偏稳健的情况吗？先把风险讲清楚。 我是在手机端首页看到它的，最关心结果可追溯。这两天我比较担心，麻烦说清楚风险。如果后续要操作，请先告诉我需要哪些确认条件。,[],"{""identity_verified"":true,""entity_resolved"":true,""action_permission"":true,""service_available"":false,""context_fresh"":true,""safety_escalation_required"":false,""request_supported"":true,""request_scope_clear"":true,""policy_version"":""v1""}","[{""object_id"":""SSE:513100"",""object_type"":""ETF"",""display_name"":""纳指ETF"",""aliases"":[""513100""],""exchange"":""SSE"",""security_code"":""513100"",""asset_group"":""overseas"",""source_url"":""https://www.sse.com.cn/lawandrules/sselawsrules2025/trade/specific/margin/c/c_20260710_10825136.shtml"",""source_effective_date"":""2026-07-13"",""verified_on"":""2026-08-13""},{""object_id"":""SZSE:159922"",""object_type"":""ETF"",""display_name"":""中证500ETF嘉实"",""aliases"":[""159922""],""exchange"":""SZSE"",""security_code"":""159922"",""asset_group"":""broad_index"",""source_url"":""https://www.szse.cn/disclosure/margin/business/t20260710_621592.html"",""source_effective_date"":""2026-07-13"",""verified_on"":""2026-08-13""},{""object_id"":""SZSE:159755"",""object_type"":""ETF"",""display_name"":""电池ETF广发"",""aliases"":[""159755""],""exchange"":""SZSE"",""security_code"":""159755"",""asset_group"":""sector"",""source_url"":""https://www.szse.cn/disclosure/margin/business/t20260710_621592.html"",""source_effective_date"":""2026-07-13"",""verified_on"":""2026-08-13""}]","[{""family"":""ADVISORY"",""evidence"":""适合"",""source"":""REQUEST"",""confidence"":""HIGH""},{""family"":""SUPPORT_SENSITIVE"",""evidence"":""比较担心"",""source"":""REQUEST"",""confidence"":""MEDIUM""},{""family"":""ACTION_SENSITIVE"",""evidence"":""要操作"",""source"":""REQUEST"",""confidence"":""MEDIUM""}]",A1_ADVISORY,CODE_ONLY,SSE:513100,DEFER,T_DEFER,"[""R020""]"
MAIN-0019,MAIN,,A1_ADVISORY|HANDOFF|EXPLICIT_NAME|SINGLE,如果只持有九个月，黄金ETF在收益来源方面有哪些风险？我想先判断合不合适。 我是在消息中心看到它的，最关心结果可追溯。,[],"{""identity_verified"":true,""entity_resolved"":true,""action_permission"":true,""service_available"":true,""context_fresh"":true,""safety_escalation_required"":true,""request_supported"":true,""request_scope_clear"":true,""policy_version"":""v1""}","[{""object_id"":""SSE:518880"",""object_type"":""ETF"",""display_name"":""黄金ETF"",""aliases"":[""518880""],""exchange"":""SSE"",""security_code"":""518880"",""asset_group"":""commodity"",""source_url"":""https://www.sse.com.cn/lawandrules/sselawsrules2025/trade/specific/margin/c/c_20260710_10825136.shtml"",""source_effective_date"":""2026-07-13"",""verified_on"":""2026-08-13""},{""object_id"":""SZSE:159938"",""object_type"":""ETF"",""display_name"":""医药ETF广发"",""aliases"":[""159938""],""exchange"":""SZSE"",""security_code"":""159938"",""asset_group"":""sector"",""source_url"":""https://www.szse.cn/disclosure/margin/business/t20260710_621592.html"",""source_effective_date"":""2026-07-13"",""verified_on"":""2026-08-13""},{""object_id"":""SZSE:159611"",""object_type"":""ETF"",""display_name"":""电力ETF广发"",""aliases"":[""159611""],""exchange"":""SZSE"",""security_code"":""159611"",""asset_group"":""sector"",""source_url"":""https://www.szse.cn/disclosure/margin/business/t20260710_621592.html"",""source_effective_date"":""2026-07-13"",""verified_on"":""2026-08-13""}]","[{""family"":""ADVISORY"",""evidence"":""适合"",""source"":""REQUEST"",""confidence"":""HIGH""}]",A1_ADVISORY,EXPLICIT_NAME,SSE:518880,HANDOFF,T_HANDOFF,"[""R001""]"
MAIN-0021,MAIN,,A1_ADVISORY|REJECT|EXPLICIT_NAME|DUAL,我想拿九个月不用的资金配置深证100ETF易方达，主要担心流动性。它适合偏稳健的情况吗？先把风险讲清楚。 我是在产品详情页看到它的，最关心结果可追溯。页面变化让我有些不安，先别跳过风险说明。,[],"{""identity_verified"":true,""entity_resolved"":true,""action_permission"":true,""service_available"":true,""context_fresh"":true,""safety_escalation_required"":false,""request_supported"":false,""request_scope_clear"":true,""policy_version"":""v1""}","[{""object_id"":""SZSE:159901"",""object_type"":""ETF"",""display_name"":""深证100ETF易方达"",""aliases"":[""159901""],""exchange"":""SZSE"",""security_code"":""159901"",""asset_group"":""broad_index"",""source_url"":""https://www.szse.cn/disclosure/margin/business/t20260710_621592.html"",""source_effective_date"":""2026-07-13"",""verified_on"":""2026-08-13""},{""object_id"":""SZSE:159949"",""object_type"":""ETF"",""display_name"":""创业板50ETF华安"",""aliases"":[""159949""],""exchange"":""SZSE"",""security_code"":""159949"",""asset_group"":""broad_index"",""source_url"":""https://www.szse.cn/disclosure/margin/business/t20260710_621592.html"",""source_effective_date"":""2026-07-13"",""verified_on"":""2026-08-13""},{""object_id"":""SZSE:159865"",""object_type"":""ETF"",""display_name"":""养殖ETF国泰"",""aliases"":[""159865""],""exchange"":""SZSE"",""security_code"":""159865"",""asset_group"":""sector"",""source_url"":""https://www.szse.cn/disclosure/margin/business/t20260710_621592.html"",""source_effective_date"":""2026-07-13"",""verified_on"":""2026-08-13""}]","[{""family"":""ADVISORY"",""evidence"":""适合"",""source"":""REQUEST"",""confidence"":""HIGH""},{""family"":""SUPPORT_SENSITIVE"",""evidence"":""有些不安"",""source"":""REQUEST"",""confidence"":""MEDIUM""}]",A1_ADVISORY,EXPLICIT_NAME,SZSE:159901,REJECT,T_REJECT,"[""R010""]"
MAIN-0024,MAIN,,A1_ADVISORY|DEFER|EXPLICIT_NAME|TRIPLE,想了解中证500ETF嘉实是否适合做一年的配置，重点说清流动性，不要只讲收益。 我是在风险提示页看到它的，最关心结果可追溯。如果后续要操作，请先告诉我需要哪些确认条件。页面变化让我有些不安，先别跳过风险说明。,[],"{""identity_verified"":true,""entity_resolved"":true,""action_permission"":true,""service_available"":false,""context_fresh"":true,""safety_escalation_required"":false,""request_supported"":true,""request_scope_clear"":true,""policy_version"":""v1""}","[{""object_id"":""SZSE:159922"",""object_type"":""ETF"",""display_name"":""中证500ETF嘉实"",""aliases"":[""159922""],""exchange"":""SZSE"",""security_code"":""159922"",""asset_group"":""broad_index"",""source_url"":""https://www.szse.cn/disclosure/margin/business/t20260710_621592.html"",""source_effective_date"":""2026-07-13"",""verified_on"":""2026-08-13""},{""object_id"":""SZSE:159825"",""object_type"":""ETF"",""display_name"":""农业ETF富国"",""aliases"":[""159825""],""exchange"":""SZSE"",""security_code"":""159825"",""asset_group"":""sector"",""source_url"":""https://www.szse.cn/disclosure/margin/business/t20260710_621592.html"",""source_effective_date"":""2026-07-13"",""verified_on"":""2026-08-13""},{""object_id"":""SSE:510500"",""object_type"":""ETF"",""display_name"":""500ETF"",""aliases"":[""510500""],""exchange"":""SSE"",""security_code"":""510500"",""asset_group"":""broad_index"",""source_url"":""https://www.sse.com.cn/lawandrules/sselawsrules2025/trade/specific/margin/c/c_20260710_10825136.shtml"",""source_effective_date"":""2026-07-13"",""verified_on"":""2026-08-13""}]","[{""family"":""ADVISORY"",""evidence"":""适合"",""source"":""REQUEST"",""confidence"":""HIGH""},{""family"":""ACTION_SENSITIVE"",""evidence"":""要操作"",""source"":""REQUEST"",""confidence"":""MEDIUM""},{""family"":""SUPPORT_SENSITIVE"",""evidence"":""有些不安"",""source"":""REQUEST"",""confidence"":""MEDIUM""}]",A1_ADVISORY,EXPLICIT_NAME,SZSE:159922,DEFER,T_DEFER,"[""R020""]"
